Datetime,String,String,String,String,Datetime,Datetime,String,String,String,String,String
date_of_origin,flight_designator,departure_airport,arrival_airport,service_type,schedule_departure,schedule_arrival,aircraft_type,status_code,aircraft_owner,cockpit_employer,cabin_employer
29Dec2019,Y4 000810 ,TIJ,MEX,J,29Dec2019 07:02,29Dec2019 10:36,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000951 ,FAT,GDL,J,29Dec2019 08:35,29Dec2019 12:05,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000724 ,MEX,CUU,J,29Dec2019 11:40,29Dec2019 14:06,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000257 ,MID,BJX,J,29Dec2019 01:10,29Dec2019 03:29,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000472 ,TIJ,CUU,J,29Dec2019 01:00,29Dec2019 02:55,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000997 ,MIA,GDL,J,29Dec2019 18:00,29Dec2019 22:16,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000453 ,SJD,TIJ,J,29Dec2019 05:12,29Dec2019 07:29,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000562 ,TIJ,LMM,J,29Dec2019 21:26,29Dec2019 23:18,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000414 ,TIJ,CUL,J,29Dec2019 01:30,29Dec2019 03:33,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000179 ,MTY,MEX,J,29Dec2019 00:46,29Dec2019 02:28,31A,S,Y4,Y4,Y4
29Dec2019,Y4 000816 ,TIJ,MEX,J,29Dec2019 17:05,29Dec2019 20:39,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000983 ,DEN,MEX,J,29Dec2019 18:55,29Dec2019 22:46,320,S,Y4,Y4,Y4
29Dec2019,Y4 000970 ,GDL,SMF,J,29Dec2019 02:23,29Dec2019 06:44,32A,S,Y4,Y4,Y4
29Dec2019,Y4 005886 ,BJX,MDW,J,29Dec2019 13:00,29Dec2019 16:53,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000250 ,BJX,CJS,J,29Dec2019 22:20,30Dec2019 00:35,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000263 ,CJS,CUL,J,29Dec2019 02:56,29Dec2019 04:29,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000419 ,CUL,TIJ,J,29Dec2019 05:12,29Dec2019 07:30,321,S,Y4,Y4,Y4
29Dec2019,Y4 000186 ,MEX,MTY,J,29Dec2019 21:12,29Dec2019 22:55,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000550 ,TIJ,PVR,J,29Dec2019 21:12,29Dec2019 23:52,321,S,Y4,Y4,Y4
29Dec2019,Y4 000601 ,CUN,GDL,J,29Dec2019 21:01,29Dec2019 23:58,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000684 ,GDL,CEN,J,29Dec2019 16:34,29Dec2019 18:31,320,S,Y4,Y4,Y4
29Dec2019,Y4 000212 ,MTY,CUN,J,29Dec2019 14:32,29Dec2019 16:52,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000763 ,HMO,MEX,J,29Dec2019 02:31,29Dec2019 05:11,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000413 ,CUL,TIJ,J,29Dec2019 13:11,29Dec2019 15:29,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000420 ,TIJ,GDL,J,29Dec2019 03:44,29Dec2019 06:36,321,S,Y4,Y4,Y4
29Dec2019,Y4 000231 ,CUN,MTY,J,29Dec2019 14:48,29Dec2019 17:24,31A,S,Y4,Y4,Y4
29Dec2019,Y4 000440 ,TIJ,MLM,J,29Dec2019 07:52,29Dec2019 10:55,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000211 ,CUN,GUA,J,29Dec2019 17:48,29Dec2019 19:29,32N,S,Y4,Y4,Y4
29Dec2019,Y4 005887 ,MDW,BJX,J,29Dec2019 01:17,29Dec2019 05:52,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000608 ,MEX,LAP,J,29Dec2019 12:11,29Dec2019 14:38,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000256 ,BJX,MID,J,29Dec2019 04:14,29Dec2019 06:20,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000892 ,GDL,DFW,J,29Dec2019 18:17,29Dec2019 20:50,32N,S,Y4,Y4,Y4
29Dec2019,Y4 000965 ,SAT,MEX,J,29Dec2019 20:54,29Dec2019 23:07,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000744 ,MEX,GDL,J,29Dec2019 13:00,29Dec2019 14:28,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000511 ,MTY,TIJ,J,29Dec2019 02:12,29Dec2019 05:19,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000465 ,PBC,TIJ,J,29Dec2019 17:01,29Dec2019 20:53,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000996 ,GDL,MIA,J,29Dec2019 12:49,29Dec2019 16:30,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000270 ,MID,CUU,J,29Dec2019 13:15,29Dec2019 16:26,32N,S,Y4,Y4,Y4
29Dec2019,Y4 005550 ,TIJ,PVR,J,29Dec2019 20:20,29Dec2019 23:00,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000671 ,CUL,GDL,J,29Dec2019 01:05,29Dec2019 02:31,321,S,Y4,Y4,Y4
29Dec2019,Y4 000129 ,SJD,MTY,J,29Dec2019 01:15,29Dec2019 03:07,31A,S,Y4,Y4,Y4
