Mean	Median	StdDev	Max	Min	Entropy	Hamming
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.7000707388	84907.7000707388	0.0000000000	84907.7000707388	84907.7000707388	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.7000707388	84907.4969142675	0.0005855799	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
